1,GZYTKPCJDFHXLNW,000000000FHXLNW,"False,False,False,False,False,False,False,False,False,True,True,True,True,True,True",6,15
2,PMYFNWXDGQLCSTJ,PMY0000000QGCYZ,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,False",3,15
3,NQFWJTSGHCXKYPL,MPL000000000KYP,"False,False,False,False,False,False,False,False,False,False,False,False,False,False,False",0,15
4,VMZNXTLHQWJRDBY,000000000000DBY,"False,False,False,False,False,False,False,False,False,False,False,False,True,True,True",3,15
5,MGNJSPLVFYTWDZB,00000LBY000W0ZB,"False,False,False,False,False,False,False,False,False,False,False,True,False,True,True",3,15
6,LXSQNDWKVCBZFTJ,000000000000FTJ,"False,False,False,False,False,False,False,False,False,False,False,False,True,True,True",3,15
7,PMCNFKHDBSWGTYZ,PMY00000000WG00,"True,True,False,False,False,False,False,False,False,False,False,False,False,False,False",2,15
8,DCVWPSLGZNRXHFK,DCVW00000000HFK,"True,True,True,True,False,False,False,False,False,False,False,False,True,True,True",7,15
9,CJTZGQFPSYLXNDR,DC00000000LXNDR,"False,False,False,False,False,False,False,False,False,False,True,True,True,True,True",5,15
10,CLKYFPTVWMDJSQN,CL000000000000N,"True,True,False,False,False,False,False,False,False,False,False,False,False,False,True",3,15
11,TWNDRCYSPKXFJMB,0TWDR0000000JMB,"False,False,False,True,True,False,False,False,False,False,False,False,True,True,True",5,15
12,CKJZHYGBSXPTMWN,CL00000BSXP0000,"True,False,False,False,False,False,False,True,True,True,True,False,False,False,False",5,15
13,DTXJLVCSNYGMKBR,TDX0000000YGMKR,"False,False,True,False,False,False,False,False,False,False,False,False,False,False,True",2,15
14,SPYMLRKVWFDQZHJ,0000000VWFDQZHR,"False,False,False,False,False,False,False,True,True,True,True,True,True,True,False",7,15
15,XTZJQLDSFHCKBNR,XT0000000000BNR,"True,True,False,False,False,False,False,False,False,False,False,False,True,True,True",5,15
16,BKVPMGCWXNZFJLY,XN0000000000JLY,"False,False,False,False,False,False,False,False,False,False,False,False,True,True,True",3,15
17,CNGSFZHTPDWMXKL,CNG0000000WMXKL,"True,True,True,False,False,False,False,False,False,False,True,True,True,True,True",8,15
18,YQSHWVBFLCTXNKM,000000000000NKM,"False,False,False,False,False,False,False,False,False,False,False,False,True,True,True",3,15
19,TDLVNPZRHGSMCBJ,0000000000000BJ,"False,False,False,False,False,False,False,False,False,False,False,False,False,True,True",2,15
20,JXSZNQCHPRKVLWM,0000000HPRK00WM,"False,False,False,False,False,False,False,True,True,True,True,False,False,True,True",6,15
1,RJYPVKHBDXTGQFL,RGPY000000XGTQ0,"True,False,False,False,False,False,False,False,False,False,False,True,False,False,False",2,15
2,WNJLXVPCHYMSQDF,WJNX00000000QDF,"True,False,False,False,False,False,False,False,False,False,False,False,True,True,True",4,15
3,MVDJLQFYNZRXWST,MVDJL0000000WST,"True,True,True,True,True,False,False,False,False,False,False,False,True,True,True",8,15
4,DFBCKPRNLHVQTZX,DFBC00000000TZX,"True,True,True,True,False,False,False,False,False,False,False,False,True,True,True",7,15
5,YRHTVBPXDSMQKGF,YRHTV00000000GK,"True,True,True,True,True,False,False,False,False,False,False,False,False,True,False",6,15
6,WJKSLPNYQHMFTZX,WJKSL00000000ZX,"True,True,True,True,True,False,False,False,False,False,False,False,False,True,True",7,15
7,QWCVDMHLZXPSBNF,QWCDVM0000000SF,"True,True,True,False,False,True,False,False,False,False,False,False,False,False,True",5,15
8,WTJNQXYDMRZSHCP,WTJNQXY000000CP,"True,True,True,True,True,True,True,False,False,False,False,False,False,True,True",9,15
9,JSVTYBRMGNFCWKX,JSTVYRBM00000KX,"True,True,False,False,True,False,False,True,False,False,False,False,False,True,True",6,15
10,KQVDTJXFYNRHLMZ,QD00000000RHLMZ,"False,False,False,False,False,False,False,False,False,False,True,True,True,True,True",5,15
11,SLBRPHQJKZWYTFC,SLRBH0000000TFC,"True,True,False,False,False,False,False,False,False,False,False,False,True,True,True",5,15
12,JMYDRPXGWNLQBSV,JMYDRX00000000V,"True,True,True,True,True,False,False,False,False,False,False,False,False,False,True",6,15
13,ZTWKYHNVSPFQDCG,W00000000SPFQCG,"False,False,False,False,False,False,False,False,False,False,False,False,False,True,True",2,15
14,ZPCDRMYFWQXJVHK,CPDZ0000000JVHK,"False,True,False,False,False,False,False,False,False,False,False,True,True,True,True",5,15
15,SXBPDFVLCYKMQTJ,SXB00000000KMQT,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,False",3,15
16,VYNFZHSLCBQWMRG,VYNF000000QWMBR,"True,True,True,True,False,False,False,False,False,False,True,True,True,False,False",7,15
17,DGBHSMWTRNXQZKF,DGBF000000TRANX,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,False",3,15
18,VHNRDXQFJYSZGTL,VHNRD00000000TL,"True,True,True,True,True,False,False,False,False,False,False,False,False,True,True",7,15
19,HKWLTGJSFVBPRQZ,HKLWT0000000RQZ,"True,True,False,False,True,False,False,False,False,False,False,False,True,True,True",6,15
20,ZKJLSCFHGQPYMDX,ZKJLC000000000X,"True,True,True,True,False,False,False,False,False,False,False,False,False,False,True",5,15
