
1,YCVHJTGZPBSWRMD,YCVJTGZ        ,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,False",3,15
2,JYCBQPZLKHTGFRX,JYZBQ          ,"True,True,False,True,True,False,False,False,False,False,False,False,False,False,False",4,15
3,PLRWZTKSNHQYCDF,PLRZWT         ,"True,True,True,False,False,True,False,False,False,False,False,False,False,False,False",4,15
4,WYDQNZTBMKCFPLJ,WYDQNZT        ,"True,True,True,True,True,True,True,False,False,False,False,False,False,False,False",7,15
5,HKLXMZTFGQNDWSY,HKLXMT         ,"True,True,True,True,True,False,False,False,False,False,False,False,False,False,False",5,15
6,RCHMZDFLWBSXTNV,RCHMZDF        ,"True,True,True,True,True,True,True,False,False,False,False,False,False,False,False",7,15
7,BGNFXRKSDWTPVLY,BGNFXRG        ,"True,True,True,True,True,True,False,False,False,False,False,False,False,False,False",6,15
8,FJPMWCGZYHTBXKS,FJPMWCG        ,"True,True,True,True,True,True,True,False,False,False,False,False,False,False,False",7,15
9,MLDBXRZCFSWGTYV,MLB            ,"True,True,False,False,False,False,False,False,False,False,False,False,False,False,False",2,15
10,JTGKNWPDVYHLBFR,JFRE         FV,"True,False,False,False,False,False,False,False,False,False,False,False,False,True,False",2,15
11,FDPBRTLZHVWNJQM,FDBKLHDSFEF    ,"True,True,False,False,False,False,False,False,False,False,False,False,False,False,False",2,15
12,JNZQBWGTCPRSVYK,JNZQL          ,"True,True,True,True,False,False,False,False,False,False,False,False,False,False,False",4,15
13,RKJNTWFQPCBYXZM,BZERFASKLJ     ,"False,False,False,False,False,False,False,False,False,False,False,False,False,False,False",0,15
14,SFVMHLNCKWXZDQY,SFVMH          ,"True,True,True,True,True,False,False,False,False,False,False,False,False,False,False",5,15
15,WCGZSNRMPHLJQVF,WCGZ        VVV,"True,True,True,True,False,False,False,False,False,False,False,False,False,True,False",5,15
16,QTKBGMDLNWRVFXZ,QTBLMSAD       ,"True,True,False,False,False,False,False,False,False,False,False,False,False,False,False",2,15
17,RHSYXWQDJMVTBCK,MDKCBSAF       ,"False,False,False,False,False,False,False,False,False,False,False,False,False,False,False",0,15
18,WJRSHQMYTVLZKND,WJRSQLKJ       ,"True,True,True,True,False,False,False,False,False,False,False,False,False,False,False",4,15
19,MTCSWVGBHRXDFJK,MTCWVSDF       ,"True,True,True,False,False,False,False,False,False,False,False,False,False,False,False",3,15
20,GLZHXQPWMSJCFYN,JFKLDJFXMFSZ   ,"False,False,False,False,False,False,False,False,True,False,False,False,False,False,False",1,15
